id,description,price
270,Cheese - Perron Cheddar,2964200820
271,Water - Aquafina Vitamin,1186924002
272,Cape Capensis - Fillet,315628653
273,Pork Salted Bellies,2036189128
274,Soup - Campbells Beef Noodle,1111545855
275,Eggroll,3458658325
276,Pork - Back Ribs,2328087633
277,Garbage Bags - Clear,1318245988
278,Wine - Remy Pannier Rose,809660570
279,Tart - Raisin And Pecan,1743079009
280,Creme De Cacao White,2836540203
281,Soup - Campbells Chicken,1992511113
282,"Cheese - Romano, Grated",1045628747
283,"Vermacelli - Sprinkles, Assorted",472133875
284,Tart - Lemon,1182360142
285,Apron,2551799518
286,Couscous,2220599451
287,Ginsing - Fresh,47804334
288,Beer - Original Organic Lager,400151774
289,Soup - Campbells Tomato Ravioli,1539444050
290,"Orange - Canned, Mandarin",1391322917
291,Salmon - Sockeye Raw,1759199937
292,Wine - Manischewitz Concord,2572297001
293,Venison - Ground,1589642375
294,Wine - Tio Pepe Sherry Fino,138263985
295,Island Oasis - Magarita Mix,52660875
296,Instant Coffee,154636433
297,Coffee - Espresso,3256092742
298,Kellogs Special K Cereal,2962348331
299,Foil Wrap,2268946220
300,Pastry - Chocolate Marble Tea,3396782190
301,Pate - Peppercorn,3314902139
302,"Orange - Canned, Mandarin",3588251184
303,Soupcontfoam16oz 116con,2897637165
304,Cake Sheet Combo Party Pack,3692586610
305,Pork - Backs - Boneless,1365271713
306,Cookie Choc,845687120
307,Bay Leaf,2695337999
308,"Cheese - Romano, Grated",1132141179
309,Cheese - Bakers Cream Cheese,1070949942
310,Trueblue - Blueberry,3560783792
311,Pork - Liver,1873075913
312,Extract - Almond,1851073392
313,Longos - Chicken Curried,3222513162
314,"Nut - Chestnuts, Whole",2721780088
315,"Cup - 3.5oz, Foam",577936228
316,Black Currants,3444814231
317,Peach - Halves,2016304311
318,"Trout - Rainbow, Frozen",679717692
319,Black Currants,3913936525
320,"Lentils - Red, Dry",1864669161
321,Water - Perrier,1465598051
322,Icecream Cone - Areo Chocolate,3181613288
323,Macaroons - Two Bite Choc,1863362376
324,Quinoa,304998792
325,"Lemonade - Island Tea, 591 Ml",411892732
326,Chinese Foods - Chicken Wing,2306484932
327,Beef - Bresaola,1866224067
328,Bacon Strip Precooked,2491618629
329,Curry Powder,3884067435
330,Milk - Homo,3398528818
331,Bread - Pita,1381603238
332,Muffin Mix - Oatmeal,1434574684
333,"Pepper - Chipotle, Canned",428395647
334,Soup - Campbells Broccoli,2186822010
335,Otomegusa Dashi Konbu,2462933623
336,Table Cloth 62x120 Colour,3588071745
337,Lotus Rootlets - Canned,1919513050
338,Ecolab - Power Fusion,3214039223
339,Durian Fruit,1013858151
340,Silicone Parch. 16.3x24.3,3381670402
341,Tomato - Tricolor Cherry,1557032409
342,Wine - Beaujolais Villages,3324625058
343,Veal - Striploin,320305846
344,"Tortillas - Flour, 10",1350231898
345,Cake Slab,2289303340
346,Ecolab - Power Fusion,2157445340
347,Pastry - Chocolate Chip Muffin,1049418421
348,"Salt - Rock, Course",1705009085
349,Beer - Blue,841251174
350,Tomato - Tricolor Cherry,2157600523
351,"Pasta - Elbows, Macaroni, Dry",828009384
352,"Wine - White, Pelee Island",3510176003
353,"Plate - Foam, Bread And Butter",651573740
354,Veal - Slab Bacon,849992770
355,Island Oasis - Cappucino Mix,3403629479
356,Tart - Lemon,2985112970
357,Bread - Raisin Walnut Oval,3040550050
358,Salmon Steak - Cohoe 8 Oz,2678148938
359,Shrimp - Black Tiger 16/20,2032590863
360,"Beef - Baby, Liver",2870298972
361,Muffin Mix - Lemon Cranberry,2702032067
362,Sugar - Fine,3508048303
363,Soup - Tomato Mush. Florentine,121868197
364,Squeeze Bottle,1440155014
365,Star Fruit,3231429770
366,Water - Evian 355 Ml,1469391719
367,Veal - Leg,1530574337
368,Hummus - Spread,3172020061
369,Jello - Assorted,3013545951
370,"Water - Spring Water, 355 Ml",983334475
371,"Carrots - Mini, Stem On",3726273113
372,"Fish - Atlantic Salmon, Cold",2955606244
373,Numi - Assorted Teas,903544781
374,Tomato - Peeled Italian Canned,2555189315
375,Tea - Apple Green Tea,895578753
376,Sea Urchin,2099096567
377,"Flour - Corn, Fine",1172126258
378,Wine - Beaujolais Villages,721588336
379,Bagel - 12 Grain Preslice,375098562
380,Coffee - Irish Cream,145132642
381,Soup - Verve - Chipotle Chicken,881917946
382,Wine - Fat Bastard Merlot,11939031
383,Bread - Granary Small Pull,3241504380
384,Bread - Mini Hamburger Bun,2442807114
385,Sobe - Lizard Fuel,16814560
386,Lychee - Canned,2074964912
387,Chef Hat 20cm,244634427
388,Sobe - Green Tea,1611431847
389,Broom - Corn,2833533479
390,"Bread - Sticks, Thin, Plain",2214969593
391,Higashimaru Usukuchi Soy,1052006185
392,Clementine,3001191942
393,Kellogs All Bran Bars,1990076598
394,Pear - Prickly,162381876
395,Wine - Savigny - Les - Beaune,2317879569
396,Plaintain,2905233856
397,Ice Cream - Strawberry,3471345081
398,"Beans - Kidney, Red Dry",2020883222
399,Kiwano,3545317120
400,Coffee - Irish Cream,3748411646
401,Sauce - Balsamic Viniagrette,2892675746
402,Energy Drink - Redbull 355ml,3340355471
403,"Wine - Red, Metus Rose",2100809706
404,Swiss Chard,563451665
405,Sobe - Tropical Energy,2820744431
406,Parsley - Fresh,2587245051
407,Cabbage - Savoy,3543437015
408,Bag - Regular Kraft 20 Lb,3097400370
409,Bulgar,2628481056
410,Bread - White Epi Baguette,2062793653
411,Lidsoupcont Rp12dn,3032525199
412,Sword Pick Asst,1519261194
413,Wine - Cotes Du Rhone Parallele,3691838812
414,Pickle - Dill,701190665
415,Scallops - U - 10,279606352
416,Tray - 16in Rnd Blk,1709650781
417,Milk - Skim,1219457350
418,Lobster - Canned Premium,1096488511
419,"Pepsi, 355 Ml",2285852627
420,Wine - Chablis 2003 Champs,2971824946
421,Milk Powder,2746919798
422,Table Cloth 54x54 White,3964884425
423,Bagel - Everything Presliced,3935917666
424,Potatoes - Pei 10 Oz,3551322946
425,Apple - Royal Gala,3652451694
426,Cheese - Bakers Cream Cheese,2677389683
427,Apple - Fuji,2247476961
428,Cake - Mini Potato Pancake,1230140748
429,"Carrots - Purple, Organic",2537449769
430,Monkfish - Fresh,3152886027
431,Ginsing - Fresh,1714587203
432,Pork - Backs - Boneless,3509255576
433,Pastry - Chocolate Chip Muffin,1173286370
434,Mints - Striped Red,1836139655
435,Nacho Chips,1185064088
436,Spice - Pepper Portions,1198217767
437,Wine - Gato Negro Cabernet,539861671
438,Wine - Sawmill Creek Autumn,1002529046
439,Sausage - Breakfast,1108546646
440,Muffin Mix - Chocolate Chip,1127011700
441,Amarula Cream,1046424017
442,Flour - Whole Wheat,603876707
443,Bread - Burger,315423232
444,Soup - French Onion,1439859494
445,Flour - All Purpose,1150876429
446,Beer - Sleemans Cream Ale,1983640501
447,Muffin - Bran Ind Wrpd,1840113903
448,"Hickory Smoke, Liquid",1935850510
449,Banana - Green,1689267034
450,Prunes - Pitted,447205384
451,Cheese - Camembert,1737894837
452,Compound - Passion Fruit,485964883
453,Broom - Push,1032881070
454,"Ice - Clear, 300 Lb For Carving",2653692412
455,Nacho Chips,1756883282
456,"Shrimp - 16/20, Peeled Deviened",970829801
457,Puff Pastry - Sheets,665887060
458,Bread Roll Foccacia,1957897272
459,Pasta - Agnolotti - Butternut,3323852140
460,Kahlua,1698032589
461,Sour Puss - Tangerine,31912630
462,"Mushroom - Morels, Dry",617786502
463,Fish - Bones,1028078060
464,Vegetable - Base,305464549
465,Orange - Blood,1996085367
466,Cloves - Ground,1829917403
467,Wine - Cava Aria Estate Brut,3006090755
468,"Wine - Red, Harrow Estates, Cab",3061854689
469,"Pepper - Paprika, Spanish",1992920325
470,Bread - Corn Muffaleta Onion,1770319846
471,"Wine - Red, Wolf Blass, Yellow",266439579
472,"Pepper - Chillies, Crushed",3624788017
473,Ice Cream Bar - Drumstick,2495807453
474,Cod - Fillets,3350749323
475,Clam Nectar,3284035018
476,Vinegar - White Wine,3655026507
477,Cactus Pads,1088034611
478,Daves Island Stinger,1492945492
479,"Beef - Rib Roast, Capless",3026372876
480,Skewers - Bamboo,1551643848
481,Sobe - Liz Blizz,3142573926
482,Foie Gras,1981702977
483,Milk - 2% 250 Ml,3662190941
484,"Shrimp - 16/20, Peeled Deviened",1755057047
485,Scallops - U - 10,2628827390
486,Everfresh Products,1798788324
487,Crab - Soft Shell,1451490155
488,Ice Cream - Fudge Bars,2316164440
489,"Wine - Magnotta, White",1872381847
490,Wine - Manischewitz Concord,908323188
491,Scampi Tail,1035471139
492,"Crab - Dungeness, Whole, live",2586456712
493,Rabbit - Whole,1745355256
494,Cups 10oz Trans,2024439187
495,Sobe - Tropical Energy,1790461861
496,Tofu - Firm,2675482903
497,Cake - Night And Day Choclate,1136495574
498,Ecolab - Hobart Washarm End Cap,3975122540
499,Vol Au Vents,791884148
500,Wine - German Riesling,229331194
501,Icecream - Dibs,3272100138
502,Cheese - Colby,390718004
503,Fork - Plastic,1576304976
504,Coffee - French Vanilla Frothy,1897323650
505,Tomatoes - Yellow Hot House,2603985543
506,Cookies - Amaretto,2986562695
507,Mahi Mahi,3418117206
508,Sauce - Chili,1592514353
509,Juice - Orange,3394379332
510,Snails - Large Canned,2571189482
511,Coffee - Flavoured,1143584380
512,Rye Special Old,2249818086
513,"Red Snapper - Fresh, Whole",1673860805
514,"Hickory Smoke, Liquid",2429416871
515,"Cheese - Brie,danish",2205238336
516,Arctic Char - Fillets,2051401196
517,Squid - U 5,3000743760
518,"Wine - Red, Antinori Santa",109265720
519,Broom And Broom Rack White,680242663
520,Mountain Dew,918537875
521,"Chocolate - Pistoles, White",3814660386
522,Quail - Jumbo Boneless,2710946451
523,Oil - Avocado,1465152728
524,Cheese - Parmesan Grated,121903409
525,"Wine - Cahors Ac 2000, Clos",2124090747
526,Plasticknivesblack,3159325815
527,Cheese - Goat With Herbs,3725538440
528,Mustard - Dijon,1532005137
529,Muffin Mix - Raisin Bran,2684629604
530,Bagelers - Cinn / Brown Sugar,2250884342
531,"Wine - Red, Black Opal Shiraz",2034811796
532,Mushroom - King Eryingii,1864101327
533,Shrimp - 31/40,1805505496
534,"Zucchini - Mini, Green",2539880101
535,Sauce - Hoisin,2287598394
536,Cake - Lemon Chiffon,3844479228
537,Ginger - Pickled,285091629
538,Tarts Assorted,1928353739
539,Cheese - Roquefort Pappillon,782574291
540,Puree - Raspberry,1368587231
541,"Tray - Foam, Square 4 - S",1698604263
542,"Soup - Clam Chowder, Dry Mix",3909251268
543,Sugar - Monocystal / Rock,413315167
544,Ostrich - Fan Fillet,2692887881
545,"Coffee - Colombian, Portioned",3236471468
546,Lid - 0090 Clear,1206093470
547,"Crab - Claws, 26 - 30",2362714339
548,Coffee Swiss Choc Almond,1526642750
549,Vinegar - Cider,876425793
550,Milk - 2%,2921533069
551,"Nut - Pecan, Halves",2840135146
552,Ice Cream - Chocolate,1980270604
553,Cookie Chocolate Chip With,2934433079
554,Cake - Sheet Strawberry,871620701
555,Pails With Lids,1947281063
556,Cucumber - Pickling Ontario,612655280
557,Sauce - Rosee,3892915204
558,Glass Clear 8 Oz,432097955
559,Beef - Tenderloin - Aa,804821067
560,External Supplier,3478781600
561,V8 - Vegetable Cocktail,2129942392
562,Plate Pie Foil,3614478872
563,Shallots,2073223921
564,Shortbread - Cookie Crumbs,1189495787
565,Veal - Sweetbread,1568296285
566,Guinea Fowl,2839151942
567,Beer - Maudite,1923112660
568,Cake - Mini Cheesecake,68361864
569,Cut Wakame - Hanawakaba,1589860839
570,"Basil - Dry, Rubbed",2681957637
571,Muffin Mix - Corn Harvest,1642291626
572,Juice - Apple Cider,251838812
573,Jameson - Irish Whiskey,3306977311
574,Wine - Penfolds Koonuga Hill,1471853426
575,Pastry - Raisin Muffin - Mini,2819987094
576,"Beef - Bones, Cut - Up",3495221732
577,"Pasta - Penne, Rigate, Dry",849532631
578,Scallops - Live In Shell,1302811297
579,Wine - German Riesling,3463248661
580,Potatoes - Mini White 3 Oz,1718383470
581,Tilapia - Fillets,614970688
582,"Lettuce - Romaine, Heart",3855852102
583,"Juice - Apple, 1.36l",1834611840
584,Mayonnaise - Individual Pkg,3138316964
585,"Lettuce - Mini Greens, Whole",3491646118
586,"Pork - Loin, Boneless",2782937089
587,"Bread - Dark Rye, Loaf",920336189
588,Asparagus - Mexican,2014996972
589,Pastry - Banana Tea Loaf,772309796
590,French Pastries,401828075
591,Capers - Ox Eye Daisy,1507843531
592,Wine - Magnotta - Belpaese,2999060425
593,Cinnamon - Stick,1142397365
594,Water - Evian 355 Ml,2181287092
595,Crush - Cream Soda,880943180
596,"Lid - High Heat, Super Clear",3857966890
597,"Chicken - Leg, Boneless",3846109426
598,Shrimp - Black Tiger 16/20,2504583525
599,"Lemonade - Black Cherry, 591 Ml",2006581777
600,"Club Soda - Schweppes, 355 Ml",3534062923
601,Wine - Acient Coast Caberne,2102263253
602,Wine - Taylors Reserve,957330903
603,Nestea - Iced Tea,2863561578
604,Puree - Strawberry,3495044721
605,Butter - Salted,3054470114
606,Beef - Tender Tips,1438348675
607,Oil - Macadamia,1755474776
608,"Wine - White, Ej",3100266325
609,Eggs - Extra Large,1477598082
610,Water - Perrier,2294598281
611,V8 Splash Strawberry Kiwi,2507042792
612,Juice - Orange 1.89l,1691554672
613,Vanilla Beans,1079527453
614,Beef - Striploin Aa,2836353616
615,Muffin - Banana Nut Individual,1275638143
616,Spinach - Frozen,3851488149
617,Ginger - Crystalized,3539486022
618,Lobster - Live,1871577535
619,Zucchini - Yellow,2130574357
620,Capers - Pickled,1508024942
621,Water - Evian 355 Ml,529737823
622,Monkfish Fresh - Skin Off,2619147010
623,Cup Translucent 9 Oz,3643030358
624,Puree - Mango,1773863749
625,Muffin Mix - Carrot,3936458299
626,Pears - Anjou,3231217613
627,Cream - 18%,2776706744
628,"Mushroom - Oyster, Fresh",3919095860
629,Lettuce - Baby Salad Greens,1277329338
630,Meldea Green Tea Liquor,1890767239
631,Hagen Daza - Dk Choocolate,2301652033
632,Bay Leaf Ground,347368653
633,Cup - Translucent 7 Oz Clear,1398957593
634,Pastry - French Mini Assorted,767319918
635,Napkin - Beverage 1 Ply,3345406708
636,Corn Meal,1784528775
637,Wine - Pinot Noir Latour,3158481669
638,Wine - Crozes Hermitage E.,2743214406
639,Tea - Grapefruit Green Tea,175310001
640,Vinegar - White,2211133379
641,"Salmon - Smoked, Sliced",992880249
642,Whmis - Spray Bottle Trigger,1391155593
643,Beans - Yellow,2028185109
644,"Oregano - Dry, Rubbed",2074100233
645,Longan,3202159422
646,Magnotta - Bel Paese White,919299113
647,Lettuce - Baby Salad Greens,2002304016
648,Crackers - Trio,1432985024
649,"Beef - Ox Tail, Frozen",3252035561
650,Milk - Homo,648645281
651,Cabbage - Red,13488209
652,Chicken Breast Halal,325997967
653,Prunes - Pitted,144566236
654,Quail - Jumbo,677219526
655,"Artichoke - Bottom, Canned",3832211696
656,"Pepper - Chillies, Crushed",3807146407
657,Cookie Dough - Double,1348295017
658,Sauce - Hollandaise,1975279724
659,Potatoes - Mini Red,2976369097
660,"Flour - Buckwheat, Dark",1986778756
661,Bread - Hot Dog Buns,1971798966
662,Scallops - In Shell,185963002
663,Beans - Yellow,1495564105
664,Mussels - Frozen,2486059298
665,Calaloo,1758289631
666,Flour - All Purpose,2685021709
667,Wine - Winzer Krems Gruner,2519677277
668,Butter - Unsalted,1040366198
669,Peppercorns - Green,3745149443
670,Squid - U 5,735371608
671,"Chestnuts - Whole,canned",3886235730
672,"Juice - Apple, 1.36l",2627210549
673,"Soup - Clam Chowder, Dry Mix",2445089494
674,Shiro Miso,1250951295
675,Arizona - Plum Green Tea,3038924057
676,Soup Campbells,3601285651
677,Sauce - Mint,1428667737
678,Cheese - Gorgonzola,3414022396
679,Island Oasis - Pina Colada,2186685769
680,"Pork - Back, Short Cut, Boneless",1679076288
681,Vanilla Beans,1568278122
682,Sauerkraut,1847880246
683,Wine - Touraine Azay - Le - Rideau,2823138426
684,Muffin - Banana Nut Individual,3807367782
685,Butter - Pod,1022560082
686,"Tarragon - Primerba, Paste",3670781887
687,Bay Leaf Fresh,24362703
688,Olives - Nicoise,1458180943
689,Beef - Flank Steak,1527032887
690,Flavouring - Rum,3257855212
691,Lettuce - Arugula,2591347011
692,Prunes - Pitted,3429203010
693,Cookie - Dough Variety,2882832464
694,"Beans - Kidney, Canned",1517826819
695,Beer - Sleeman Fine Porter,483200482
696,Tea - Camomele,1792729846
697,"Quail - Whole, Boneless",1314130902
698,Flower - Commercial Bronze,1819444875
699,Nantucket Cranberry Juice,1505395789
700,Cookies - Englishbay Wht,3851531058
701,Cheese - Le Cheve Noir,1657048992
702,"Rosemary - Primerba, Paste",3097360914
703,Beets - Pickled,1308219000
704,Celery,1190772573
705,Wine - Guy Sage Touraine,1326612044
706,Langers - Ruby Red Grapfruit,326031691
707,Anchovy Fillets,2381210262
708,Milk - Homo,3265053779
709,Buffalo - Striploin,3367080332
710,Leeks - Large,180225079
711,Wine - Chateau Aqueria Tavel,3922452085
712,Muffin Hinge - 211n,1130922380
713,Wine - Barbera Alba Doc 2001,2372877639
714,Capicola - Hot,928515322
715,"Wine - Red, Black Opal Shiraz",895770359
716,Lid - 16 Oz And 32 Oz,2098065200
717,Wine - German Riesling,2692268802
718,Tomato - Peeled Italian Canned,1607540344
719,Pancetta,2213411616
720,"Gingerale - Schweppes, 355 Ml",3723075588
721,Towel - Roll White,1169738330
722,Cheese - Sheep Milk,3048909194
723,Oven Mitt - 13 Inch,3462816795
724,Table Cloth 62x120 White,3681130467
725,Soy Protein,2390987275
